"id","item_number","description","cost","mode","type","active"
"1431","405-6815","LINER G26 4.375"""" MPC GEMINI","119.75","CONSUMABLE","inventoryitem",True
"1432","405-6856","TOOL SPANNER PISTON NUT M302 G",NULL,"TOOLS","inventoryitem",True
"1433","405-6872","G 26 PISTON KIT 4","168.02","CONSUMABLE","inventoryitem",True
"1434","405-6961","O-RING, GEMINI","5.71","CONSUMABLE","inventoryitem",True
"1435","405-6978","O RING 3.5""""VCH DA M302(VT236)","3.19","CONSUMABLE","inventoryitem",True
"1436","405-7066","PACKING GEMINI","10.46","CONSUMABLE","inventoryitem",True
"1437","405-7082","PACKING GEMINI","18.23","CONSUMABLE","inventoryitem",True
"1438","405-7099","PACKING GEMINI","38.42","CONSUMABLE","inventoryitem",True
"1439","405-7106","TOOL INSTALL PACKING TUBE MPD","84.74","CONSUMABLE","inventoryitem",True
"144","0R-3781","CON-ROD A",NULL,"ENGINE PROGRAM","inventoryitem",True
"1440","405-7171","GEMINI: ORING,VT,169,7.68X0.10","4.6","CONSUMABLE","inventoryitem",True
"1441","405-7317","PISTON 5.5"""""""" MPC","799.68","CONSUMABLE","inventoryitem",True
"1442","405-7341","5.75""""X.21"""" O-RING","2.65","CONSUMABLE","inventoryitem",True
"1443","405-7366","GEMINI: PISTON,7"",MPC","2873.67","FRAME PROGRAM","inventoryitem",True
"1444","405-7755","RING SET PISTON 5.5""""""""MPC GEM","130.56","CONSUMABLE","inventoryitem",True
"1445","405-7763","RING SET PISTON 7""""""""MOC GEMIN",NULL,"CONSUMABLE","inventoryitem",True
"1446","405-8743","BREATHER CRANKCASE M H SERIES","104.39","CONSUMABLE","inventoryitem",True
"1447","405-8792","HOSE RADIATOR UPPER G40 GEMINI","13.37","CONSUMABLE","inventoryitem",True
"1448","405-8824","BEARING ROD PAIR .040 GEMINI M","31.37","CONSUMABLE","inventoryitem",True
"1449","405-9123","GASKET LUBE PUMP PROGRESSIVE","1.75","CONSUMABLE","inventoryitem",True
"145","0R-4562","CAT: 3306 CYL. HEAD",NULL,"HEAD PROGRAM","inventoryitem",True
"1450","405-9212","PUMP LUBRICATOR MPD GEMINI","591.13","CONSUMABLE","inventoryitem",True
"1451","405-9812","O RING VALVE TO CYLINDER 7""""""""","2.13","CONSUMABLE","inventoryitem",True
"1452","405-9918","VALVE SPACER 3.5""""""""-4""""""""CYL","19.75","CONSUMABLE","inventoryitem",True
"1453","405-9926","VALVE SPACER 4.5""""""""-5.5"""""""" D","39.29","CONSUMABLE","inventoryitem",True
"1454","406-0134","VALVE CHAIR 6.5""""""""/8""""""""/9""""""","151","CONSUMABLE","inventoryitem",True
"1455","406-0304","GEMINI; SUCTION VALVE, 6.5-9"", 105RX","524.2","CONSUMABLE","inventoryitem",True
"1456","406-0304-KT (DO NOT USE)","SEE PART NUMBER 406-0304KIT",NULL,"CONSUMABLE","inventoryitem",False
"1457","406-0304-R","GEMINI; SUCTION VALVE; REMAN","164.37","COMPRESSOR VALVE PROGRAM","inventoryitem",True
"1458","K-406-0304","GEMINI; SUCTION VALVE KIT, 6.5-9"", 105CRO, PK","85","COMPRESSOR VALVE PROGRAM","inventoryitem",True
"1459","406-0312","VALVE DISCHARGE 6.5""""""""-9""""""""D",NULL,"COMPRESSOR VALVE PROGRAM","inventoryitem",True
"146","0R-4566","CAT; HEAD, CYLINDER, 3306 ",NULL,"HEAD PROGRAM","inventoryitem",True
"1460","406-0312-R","GEMINI: DISCHARGE VALVE, 6.5""-9"",B,REBUILT",NULL,"COMPRESSOR VALVE PROGRAM","inventoryitem",True
"1461","406-0312K","GEMINI; VALVE KIT",NULL,"COMPRESSOR VALVE PROGRAM","inventoryitem",True
"1462","406-0312KIT","KIT VALVE REPAIR GEMINI",NULL,"COMPRESSOR VALVE PROGRAM","inventoryitem",True
"1463","406-0386","PISTON CENTER 8"""""""" DA GEMINI",NULL,"CONSUMABLE","inventoryitem",True
"1464","406-0394","PISTON END  8""""""""MPD",NULL,"CONSUMABLE","inventoryitem",True
"1465","406-0434","6.5"""" PISTON ROD DR","161.79","CONSUMABLE","inventoryitem",True
"1466","406-0442","TUBE PIS. ROD MPD 20.082-.079","262.09","CONSUMABLE","inventoryitem",True
"1467","406-0475","GEMINI; 6.5"""" PISTON RINGS","40","CONSUMABLE","inventoryitem",True
"1468","406-0483","GEMINI; 8"" PISTON RING","33","CONSUMABLE","inventoryitem",True
"1469","406-0491","GEMINI MPD VALVE",NULL,"COMPRESSOR VALVE PROGRAM","inventoryitem",True
"147","0R-5861","CARTRIDGE  TURBO 333",NULL,"ENGINE PROGRAM","inventoryitem",True
"1470","406-0491-R","VALVE CONCENTRIC 5.5""""-7""""","709.26","CONSUMABLE","inventoryitem",True
"1471","406-0775","CRANKCASE BREATHER","17.11","CONSUMABLE","inventoryitem",True
"1472","406-0889","6.5"""" PISTON END","1217.26","CONSUMABLE","inventoryitem",True
"1473","406-0897","6.5"""" PISTON CENTER","1145.13","CONSUMABLE","inventoryitem",True
"1474","406-0904","O RING GEMINI","2.01","CONSUMABLE","inventoryitem",True
"1475","406-0912","Please update","14.29",NULL,"inventoryitem",True
"1476","406-0929","O RING GEMINI","6.4","CONSUMABLE","inventoryitem",True
"1477","406-0937","O RING VITON","4.06","CONSUMABLE","inventoryitem",True
"1478","406-0945","ORING 7.25""""X.14""""","9.05","CONSUMABLE","inventoryitem",True
"1479","406-0978","RING COMPRESSION 3.5"""""""" MPC G","9.11","CONSUMABLE","inventoryitem",True
"148","0R-9448","OIL PUMP GP",NULL,"ENGINE PROGRAM","inventoryitem",True
"1480","406-106","O-RING, GEMINI",NULL,"CONSUMABLE","inventoryitem",True
"1481","406-1228","RING PISTON 8""""VCH DA M302",NULL,"CONSUMABLE","inventoryitem",True
"1482","406-1236","RING PISTON 6.5""""VCH DA M302","46.71","CONSUMABLE","inventoryitem",True
"1483","406-1252","SPEEDI SLEEVE CRANK FRONT M SE","28.43","CONSUMABLE","inventoryitem",True
"1484","406-1569","GEMINI; CONNECTING ROD, H302","1476.67","FRAME PROGRAM","inventoryitem",True
"1485","406-1577","CROSSHEAD HP/HPD W","1930.83","FRAME PROGRAM","inventoryitem",True
"1486","406-1609","H302 CROSSHEAD PIS","81.31","CONSUMABLE","inventoryitem",True
"1487","406-1617","RETAINER BOLT FOR",NULL,"CONSUMABLE","inventoryitem",True
"1488","406-1633","HP COMP. CROSSHEAD","237.45","CONSUMABLE","inventoryitem",True
"1489","406-1674","CONN ROD BEARING","93.82","CONSUMABLE","inventoryitem",True
"149","0S-0509","3/8-16X3/4 HEX HEAD BOLT","0.36","CONSUMABLE","inventoryitem",True
"1490","406-1699","BOLT CONN ROD  H SERIES GEMINI","2.13","CONSUMABLE","inventoryitem",True
"1491","406-1714","HPD DISTANCE PIECE","15.52","CONSUMABLE","inventoryitem",True
"1492","406-1722","HPD PISTON PIN BEA",NULL,"CONSUMABLE","inventoryitem",True
"1493","406-1869","PISTON END 3.5"""""""" DA M302 GEM",NULL,"CONSUMABLE","inventoryitem",True
"1494","406-1885","PISTON END 5.5"""""""" DA GEMINI","708.7","CONSUMABLE","inventoryitem",True
"1495","406-1893","PISTON 5.5""",NULL,"CONSUMABLE","inventoryitem",True
"1496","406-2151","GEMINI; 5.5"" DIA. TEFLON PISTON RING ","12.82","CONSUMABLE","inventoryitem",True
"1497","406-2154","5.50"" GEMINI PISTON RING",NULL,"CONSUMABLE","inventoryitem",True
"1498","406-2168","STUD","21.04","CONSUMABLE","inventoryitem",True
"1499","406-2184","RING PISTON 4.5"""""""" DA GEMINI","23.78","CONSUMABLE","inventoryitem",True
"15","B3/8X1/4FS","Please update",NULL,NULL,"inventoryitem",False
"150","0S-1603","1/2 - 20 THREAD HEX HEAD BOLT",NULL,NULL,"inventoryitem",True
"1500","406-2265","O-RING VT","3.11","CONSUMABLE","inventoryitem",True
"1501","406-2419","COUNTERWEIGHT  PISTON ROD  GEM",NULL,"CONSUMABLE","inventoryitem",True
"1502","406-2427","7.5"""" MOD PISTON CE","465.25","CONSUMABLE","inventoryitem",True
"1503","406-2435","PISTON END 7.5"""""""" DA GEMINI","437.81","CONSUMABLE","inventoryitem",True
"1504","406-2508","O RING 7.5""""VCH DA M302(VT263)","8.23","CONSUMABLE","inventoryitem",True
"1505","406-2516","O RING 7.5""""VCH DA M302(VT260)","4.56","CONSUMABLE","inventoryitem",True
"1506","406-2524","RING PISTON 7.5""""VCH DA M302","77.21","CONSUMABLE","inventoryitem",True
"1507","406-2557","MODEL HP PISTON NU","53.15","CONSUMABLE","inventoryitem",True
"1508","406-2702","G 40 GEMINI HEAD G","93.79","CONSUMABLE","inventoryitem",True
"1509","406-2768","G 40 CYLINDER LINE",NULL,"CONSUMABLE","inventoryitem",True
"151","0S-1616","CAP SCREW","0.45","CONSUMABLE","inventoryitem",True
"1510","406-2824","WASHER HPD PISTON","51.58","CONSUMABLE","inventoryitem",True
"1511","406-2919","COUNTER WEIGHT",NULL,"CONSUMABLE","inventoryitem",True
"1512","406-2979","G 40 VALVE COVER G","7.85","CONSUMABLE","inventoryitem",True
"1513","406-3091","7.5"""" DIA. TEFLON P","32.49","CONSUMABLE","inventoryitem",True
"1514","406-3107","O RING 4.5""""VCH DA M302(VT244)","3.13","CONSUMABLE","inventoryitem",True
"1515","406-3115","O RING 5.5""""VCH DA M302(VT252)","5.93","CONSUMABLE","inventoryitem",True
"1516","406-3148","G 40 PISTON RING S","154.58","CONSUMABLE","inventoryitem",True
"1517","406-3237","GEMINI; RING PISTON 3.5"" DA",NULL,"CONSUMABLE","inventoryitem",True
"1518","406-3245","RING PISTON 9""""""""DA GEMINI","53.87","CONSUMABLE","inventoryitem",True
"1519","406-3253","RING PISTON 9""""""""VARIABLE POCK","18.47","CONSUMABLE","inventoryitem",True
"152","0S-1617","SCREW CAP",NULL,"CONSUMABLE","inventoryitem",True
"1520","406-3261","RING PISTON 10"""""""" DA GEMINI","36.64","CONSUMABLE","inventoryitem",True
"1521","406-3278","RING PISTON 10"""" VC TEFLON","37.85","CONSUMABLE","inventoryitem",True
"1522","406-3301","O RING 9""""VCH DA M302(VT269)","7.7","CONSUMABLE","inventoryitem",True
"1523","406-3342","O RING 6""""VCH DA M302(VT256)","4.6","CONSUMABLE","inventoryitem",True
"1524","406-3456","CHAIR VALVE 3.5""""""""-4""""""""CYL M","243.5","CONSUMABLE","inventoryitem",True
"1525","406-3578","GEAR WORM HI","103.91","CONSUMABLE","inventoryitem",True
"1526","406-3594","GEAR HIGH SPEED WO","341.28","ENGINE PROGRAM","inventoryitem",True
"1527","406-3601","GEAR WORM LOW SPEED","88.16","CONSUMABLE","inventoryitem",True
"1528","406-3626","LUBE DR SHAFT","319.65","CONSUMABLE","inventoryitem",True
"1529","406-3634","SHAFT LUBE DRIVE TRANSFER","157.97","CONSUMABLE","inventoryitem",True
"153","0S-1623","CAP SCREW",NULL,"CONSUMABLE","inventoryitem",True
"1530","406-3642","SHAFT LUBE DRIVE SLOW","274.12","CONSUMABLE","inventoryitem",True
"1531","406-3659","CAM LUBE DRIVE MPD ECCENTRIC",NULL,"CONSUMABLE","inventoryitem",True
"1532","406-3667","BEARING THRUST .875IN ID","7.7","CONSUMABLE","inventoryitem",True
"1533","406-3675","WASHER THRUST .875ID LUBE DR","2.07","CONSUMABLE","inventoryitem",True
"1534","406-3683","BEARING NEEDLE ROLLER LUBE DR","13.8","CONSUMABLE","inventoryitem",True
"1535","406-3707","PLUG  EXPANSION 1 IN OD",NULL,"CONSUMABLE","inventoryitem",True
"1536","406-3764","GEAR CRANK H302 GEMINI","158.41","CONSUMABLE","inventoryitem",True
"1537","406-4096","TOOL SPANNER PISTON NUT H302 G","285.71","CONSUMABLE","inventoryitem",True
"1538","406-4166","FRONT END COVER ASSEMBLY, GEMI","4354.16","FRAME PROGRAM","inventoryitem",True
"1539","406-4347","TOP COVER GASKET","5.19","CONSUMABLE","inventoryitem",True
"154","0T-0055","CAPSCREW",NULL,"CONSUMABLE","inventoryitem",True
"1540","406-4403","PISTON ROD","250","CONSUMABLE","inventoryitem",True
"1541","406-4809A","G40 #1 ALUM. HEAD","525","CONSUMABLE","inventoryitem",True
"1542","406-4809R","G40 #1 REBLT HEAD",NULL,"CONSUMABLE","inventoryitem",True
"1543","406-4817R","G40 #2 RBLT HEAD",NULL,"CONSUMABLE","inventoryitem",True
"1544","406-4963","GEMINI; PISTON ROD, TANDEM, HPD","234.06","MAJOR COMPONENTS","inventoryitem",True
"1545","406-5027","3"""" HPD PISTON END","290.3","CONSUMABLE","inventoryitem",True
"1546","406-5035","7.5"""" HPD PISTON EN","565","CONSUMABLE","inventoryitem",True
"1547","406-5043","3"""" PISTON CENTER","314.12","CONSUMABLE","inventoryitem",True
"1548","406-5076","END PISTON 8"""" HPD GEMINI",NULL,"CONSUMABLE","inventoryitem",True
"1549","406-5092","PISTON 3.5"""" HPD ONE PIECE","357.62","CONSUMABLE","inventoryitem",True
"155","0T-0102","CAP SCREW",NULL,"CONSUMABLE","inventoryitem",True
"1550","406-5132","5.5"""" HPD PISTON EN","199.99","CONSUMABLE","inventoryitem",True
"1551","406-5157","BEARING NEEEDLE ROLLER.51D GEM","4.96","CONSUMABLE","inventoryitem",True
"1552","406-5165","GEMINI; PISTON, 5.5"" HPS",NULL,"CONSUMABLE","inventoryitem",True
"1553","406-5173","HPD CROSSHEAD JAM","50.49","CONSUMABLE","inventoryitem",True
"1554","406-5302","PISTON 3"""" HPS","163.24","CONSUMABLE","inventoryitem",True
"1555","406-5327","PISTON 5"""""""" H302 GEMINI","370.5","CONSUMABLE","inventoryitem",True
"1556","406-5408","ROD PISTON HPD 2.5-3 IN CYL","475.43","CONSUMABLE","inventoryitem",True
"1557","406-5416","ROD PISTON HPD 3.5-5 IN CYL","406.52","CONSUMABLE","inventoryitem",True
"1558","406-5424","6.5""""-9.0"""" HPD PIST","446.25","CONSUMABLE","inventoryitem",True
"1559","406-5449","ROD HPD  6.5-8"""" GEMI","543.88","ENGINE PROGRAM","inventoryitem",True
"156","0T-0320","BOLT",NULL,"CONSUMABLE","inventoryitem",True
"1560","406-5708","8"""" VCCP GEMINI","5230.75","FRAME PROGRAM","inventoryitem",True
"1561","406-5757","PISTON STEM ASSY 4.00 VC HEAD",NULL,"CONSUMABLE","inventoryitem",True
"1562","406-6072","NEEDLE BRG","16.27","CONSUMABLE","inventoryitem",True
"1563","406-7652","5.5"""" HPD PISTON CE","279.35","CONSUMABLE","inventoryitem",True
"1564","406-7669","5"""" HPD PISTON END","126.65","CONSUMABLE","inventoryitem",True
"1565","406-7677","5"""" HPD PISTON CENT","135.76","CONSUMABLE","inventoryitem",True
"1566","406-8032","HEAD CYL. 3.5"""" M/H302","559.48","CONSUMABLE","inventoryitem",True
"1567","406-8113","VVCP 4"" MPD",NULL,"FRAME PROGRAM","inventoryitem",True
"1568","406-8195","PISTON ROD TUBE","48.02","CONSUMABLE","inventoryitem",True
"1569","406-8243","PISTON CENTER 5.5"""""""" DA GEMIN",NULL,"CONSUMABLE","inventoryitem",True
"157","0W018114012","1/2 IN   ORIFICE FOR BIG JOE R","16.33","CONSUMABLE","inventoryitem",True
"1570","406-8924","G 40 ENGINE 5"""" PIS","106.59","ENGINE PROGRAM","inventoryitem",True
"1571","406-8932","G 40 ENGINE PISTON","104.99","ENGINE PROGRAM","inventoryitem",True
"1572","4063105","HARNESS, WIRING - CUMMINS 855",NULL,"ENGINE PROGRAM","inventoryitem",True
"1573","407-0201","NUT .50-20 GRD. 8 GEMINI","0.2","CONSUMABLE","inventoryitem",True
"1574","407-0218","NUT .50-13 GR8 BLACK (FOR STUD","1.25","CONSUMABLE","inventoryitem",True
"1575","407-0226","NUT","2.13","CONSUMABLE","inventoryitem",True
"1576","407-4188","PISTON END 5"""""""" DA GEMINI",NULL,"CONSUMABLE","inventoryitem",True
"1577","407-4885","Please update",NULL,NULL,"inventoryitem",True
"1578","407-6489","PISTON CENTER 5"""""""" DA GEMINI",NULL,"CONSUMABLE","inventoryitem",True
"1579","407-7371","RING PISTON 6VC TEFLON","7.11","CONSUMABLE","inventoryitem",True
"158","1""DIAPUMP-ALUM","1"" ALUMINUM DIAPHRAGM PUMP",NULL,"TOOLS","inventoryitem",True
"1580","407-7388","O RING VT250  5.25 X .14","2.21","CONSUMABLE","inventoryitem",True
"1581","407-7517","PISTON RING 6"" GEMINI","41.63","CONSUMABLE","inventoryitem",True
"1582","407-9931","PACKING BOLT","10.59","CONSUMABLE","inventoryitem",True
"1583","408-1622","GEMINI; LUBRICATOR PUMP, MPD","584.56","CONSUMABLE","inventoryitem",True
"1584","408-6589","VALVE",NULL,"CONSUMABLE","inventoryitem",True
"1585","408-6589-R","VALVE  DISCHARGE REPAIR","140.83","COMPRESSOR VALVE PROGRAM","inventoryitem",True
"1586","K-408-6589","GEMINI; DISCHARGE VALVE KIT ","92","COMPRESSOR VALVE PROGRAM","inventoryitem",True
"1587","K-408-6597","GEMINI; DISCHARGE VALVE KIT 2.5""","67","COMPRESSOR VALVE PROGRAM","inventoryitem",True
"1588","408-6597","2.5 SUCTION VALVE",NULL,"COMPRESSOR VALVE PROGRAM","inventoryitem",True
"1589","408-6597K","KIT, VALVE SUCTION",NULL,"CONSUMABLE","inventoryitem",True
"159","1-01-10034","DISCHARGE. VALVE -2-5/8""""",NULL,"COMPRESSOR VALVE PROGRAM","inventoryitem",True
"1590","408-6597KIT","USE PN K-408-6597 ( DO NOT USE )",NULL,"CONSUMABLE","inventoryitem",False
"1591","409-4020","GEAR LUBRICATOR HELICAL M302 G","272.37","CONSUMABLE","inventoryitem",True
"1592","409-4037","GEAR CRANKSHAFT M302",NULL,"CONSUMABLE","inventoryitem",True
"1593","409-4175-R","FRONT COVER ASSY MPD/HPD REBUI","1610","MAJOR COMPONENTS","inventoryitem",True
"1594","4099517","CONTROL ROD","403.79","ENGINE PROGRAM","inventoryitem",True
"1595","4099606","CAMSHAFT 8.3 CUMMINS",NULL,"ENGINE PROGRAM","inventoryitem",True
"1596","40MT-24V-12T-R","STARTER  24V   3306  RH",NULL,"ENGINE PROGRAM","inventoryitem",True
"1597","41-5030 LFD 5G","USA BLUE 5 GALLON PAIL",NULL,"CONSUMABLE","inventoryitem",True
"1598","41-5030 LFD SC","AEROSOL PAINT CANS",NULL,"CONSUMABLE","inventoryitem",True
"1599","41-6166","MUSTANG GRAY PAINT 5 GALLON PA",NULL,"CONSUMABLE","inventoryitem",True
"16","BN08-08FJ","1/2"""" FJIC RESUSABLE HOSE FITT",NULL,"CONSUMABLE","inventoryitem",True
"160","1-01-10034 KIT","CP DISCHARGE KIT",NULL,"CONSUMABLE","inventoryitem",True
"1600","41-PS-2203","O-RING  FILTER  CP","7.54","CONSUMABLE","inventoryitem",True
"1601","410-12048","USE# 410-12569  STARTER 24V CU",NULL,"CONSUMABLE","inventoryitem",True
"1602","410-12049","STARTER, 24V, 8.3L CUMMINS.","299.67","ENGINE PROGRAM","inventoryitem",True
"1603","410-12056","STARTER 24V 42MT CAT 3400/3500","364.71","CONSUMABLE","inventoryitem",True
"1604","410-12079","STARTER 24V CAT CG137 DELCO 39","239.56","CONSUMABLE","inventoryitem",True
"1605","410-12139","STARTER 12V  VRG 330  VRG 220","113.21","CONSUMABLE","inventoryitem",True
"1606","410-12223","STARTER 12 V CAT 3304 3306 DEL","265.97","CONSUMABLE","inventoryitem",True
"1607","410-12224","STARTER 24 V CAT 3304 3306 DEL","249.12","CONSUMABLE","inventoryitem",True
"1608","410-12388","STARTER 24 CAT 3400 DELCO 42MT11T CG137","269.92","CONSUMABLE","inventoryitem",True
"1609","410-12408","STARTER 24V 855 CUMMINS","344.61","ENGINE PROGRAM","inventoryitem",True
"161","1-01-30263","RED SPRING",NULL,"CONSUMABLE","inventoryitem",True
"1610","410-12463","STARTER 50MT24V12T","424.54","CONSUMABLE","inventoryitem",True
"1611","410-12569","STARTER KTA19 CUMMINS 37MT 12V 10T","285.69","CONSUMABLE","inventoryitem",True
"1612","410-52442","STARTER, 24V, 5.9L CUMMINS. (D",NULL,"ENGINE PROGRAM","inventoryitem",True
"1613","4100324","HARNESS, WIRING - CUMMINS 855",NULL,"ENGINE PROGRAM","inventoryitem",True
"1614","410103","CIP PISTON (2PC) 3"" STEEPLE",NULL,"CONSUMABLE","inventoryitem",True
"1615","416-0603","SEAL GP",NULL,"CONSUMABLE","inventoryitem",True
"1616","416-0607","WATER PUMP AS",NULL,"CONSUMABLE","inventoryitem",True
"1617","416-0610","CAT: WATER PUMP NON-REMAN FOR 10R-1669","2214.45","CONSUMABLE","inventoryitem",True
"1618","416-1326","CAT: HOSE,FLEX,SINGLE BRAID CAT",NULL,"ENGINE PROGRAM","inventoryitem",True
"1619","416-1531","BRACKET","13.26","CONSUMABLE","inventoryitem",True
"162","1-01-30379-KIT","GEMINI SUCTION KIT 77CT","169.96","CONSUMABLE","inventoryitem",True
"1620","418-4861","TRANSFORMER GP - IGNITION SPAR","342.72","CONSUMABLE","inventoryitem",True
"1621","418-4862","TRANSFORMER GP - IGNITION SPAR","445.38","ENGINE PROGRAM","inventoryitem",True
"1622","419-5116","KIT - FRONT CG137-12",NULL,"ENGINE PROGRAM","inventoryitem",True
"1623","420-3594","CAPSCREW, GEMINI","6.65","CONSUMABLE","inventoryitem",True
"1624","420-8343","H302 OIL PUMP",NULL,"ENGINE PROGRAM","inventoryitem",True
"1625","421-2394","CRANKSHAFT M SERIES GEMINI",NULL,"FRAME PROGRAM","inventoryitem",True
"1626","421-2400","CRANKSHAFT COMPR FS H-SERIES","3257.59","FRAME PROGRAM","inventoryitem",True
"1627","421-2400EX","CRANKSHAFT H302 EXCHANGED",NULL,"CONSUMABLE","inventoryitem",True
"1628","421-2418","1/2"" DRIVE END CRANKSHAFT",NULL,"ENGINE PROGRAM","inventoryitem",True
"1629","421-6549","H304 CRANKSHAFT 1/2 BACK",NULL,"ENGINE PROGRAM","inventoryitem",True
"163","1-01-30388","CP; SUCTION VALVE KIT, 77CT, 3","81.98","CONSUMABLE","inventoryitem",True
"1630","422-7088","MAIN BEARINGS","117.08","CONSUMABLE","inventoryitem",True
"1631","422-9086","TUBE ASSY WATER GP","98.98","CONSUMABLE","inventoryitem",True
"1632","422-9087","TUBE ASSY - WATER GP","101.26","ENGINE PROGRAM","inventoryitem",True
"1633","423-6982","GASKET",NULL,"CONSUMABLE","inventoryitem",True
"1634","425-009","RING PISTON OIL 2""""""""MPC GEMIN","5.31","CONSUMABLE","inventoryitem",True
"1635","425-010","RING PISTON SCRAPER 2""""""""MPC G","3.86","CONSUMABLE","inventoryitem",True
"1636","425-011","RING PISTON OIL 2.5""""""""MPC GEM","44.84","CONSUMABLE","inventoryitem",True
"1637","425-012","RING PISTON SCRAPER 2.5"""" MPC",NULL,"CONSUMABLE","inventoryitem",True
"1638","425-024","ROLL PIN .25""""X1.50","0.26","CONSUMABLE","inventoryitem",True
"1639","425-053","MPC LP CYL. VARIAB","51.28","CONSUMABLE","inventoryitem",True
"164","1-01-40050-R","VLV SUC GEM 7.75-8.50 REBUILT","167.56","CONSUMABLE","inventoryitem",True
"1640","425-059","DIPSTICK COMPRESSOR M SERIES G","100","CONSUMABLE","inventoryitem",True
"1641","425-092","GEMINI; CROSSHEAD, M302","1102.3","FRAME PROGRAM","inventoryitem",True
"1642","425-092-R","CROSS HEAD M302 GEMINI REPAIRE",NULL,"CONSUMABLE","inventoryitem",True
"1643","425-114","MPD PISTON ROD CUP","100.06","CONSUMABLE","inventoryitem",True
"1644","425-115","TUBE PISTON ROD HE M302 TANDEM","96.61","CONSUMABLE","inventoryitem",True
"1645","425-116","POLISH ROD","294.09","CONSUMABLE","inventoryitem",True
"1646","425-117","PISTON TANDEM 5"""""""" M SERIES G",NULL,"CONSUMABLE","inventoryitem",True
"1647","425-118","4"""" PISTON",NULL,"CONSUMABLE","inventoryitem",True
"1648","425-119","PISTON 3"""" MPS",NULL,"CONSUMABLE","inventoryitem",True
"1649","425-120","PISTON TANDEM 2.5""""""""MPS GEMIN","520","CONSUMABLE","inventoryitem",True
"165","1-01-50450","GEMINI: SUCTION VALVE KIT","75","COMPRESSOR VALVE PROGRAM","inventoryitem",True
"1650","425-121","ROD PISTON  DRAWBOLT","238.46","CONSUMABLE","inventoryitem",True
"1651","425-122","GEMINI; RING PISTON 5"" VCH DA M302","43.35","CONSUMABLE","inventoryitem",True
"1652","425-123","4"""" PISTON RING","37.16","CONSUMABLE","inventoryitem",True
"1653","425-124","3"""" PSTN RING TEF","17.46","CONSUMABLE","inventoryitem",True
"1654","425-124-4","PISTON RING SET  GEMINI H/M 3""",NULL,"CONSUMABLE","inventoryitem",True
"1655","425-1242","GEMINI:RING,PISTON,3"" DA CYL, TEFLON,H302","11.03","CONSUMABLE","inventoryitem",True
"1656","425-125","GEMINI; 2 1/2"""" PISTON RING","16.55","CONSUMABLE","inventoryitem",True
"1657","425-126","O RING VALVE CAP GEMINI","6.53","CONSUMABLE","inventoryitem",True
"1658","425-127","MPD/HPD SIDE DOOR","5.08","CONSUMABLE","inventoryitem",True
"1659","425-128","O RING VT","16.57","CONSUMABLE","inventoryitem",True
"166","1-01-50450-STX","USE PN K-01-50450 ( DO NOT USE )",NULL,"CONSUMABLE","inventoryitem",False
"1660","425-132","O RING 3"""" VCH M302(VT 228)","2.66","CONSUMABLE","inventoryitem",True
"1661","425-133","O-RING","5.84","CONSUMABLE","inventoryitem",True
"1662","425-136","GASKET  VALVE  SEAT  GEMINI","0.78","CONSUMABLE","inventoryitem",True
"1663","425-140","VALVE STUD","20.75","CONSUMABLE","inventoryitem",True
"1664","425-141","VALVE HOLDER","7.88","CONSUMABLE","inventoryitem",True
"1665","425-147","O RING GEMINI","3.33","CONSUMABLE","inventoryitem",True
"1666","425-150","O RING VALVE  CAP GEMINI",NULL,"CONSUMABLE","inventoryitem",True
"1667","425-152","GEM STUD HE TO CE","37.57","CONSUMABLE","inventoryitem",True
"1668","425-153","NUT PISTON ROD MPD","58.34","CONSUMABLE","inventoryitem",True
"1669","425-154","PACKING TUBE","19.65","CONSUMABLE","inventoryitem",True
"167","1-01-50451","VALVE DISCHARGE 5-1/2"""" CP/FE","150","COMPRESSOR VALVE PROGRAM","inventoryitem",True
"1670","425-158","O-RING VITON","3.92","CONSUMABLE","inventoryitem",True
"1671","425-159","CHAIR VALVE 2.5""""""""-3"""""""" DA G",NULL,"COMPRESSOR VALVE PROGRAM","inventoryitem",True
"1672","425-160","PACKING CASE","1022.38","FRAME PROGRAM","inventoryitem",True
"1673","425-160K","GEMINI PACKING KIT",NULL,"CONSUMABLE","inventoryitem",True
"1674","425-160R","PACKING GLAND ASSEMBLY (REMAN)",NULL,"CONSUMABLE","inventoryitem",True
"1675","425-161","GEMINI; SUCTION VALVE; 3 3/4""","484.23","COMPRESSOR VALVE PROGRAM","inventoryitem",True
"1676","425-161 KIT","USE PN K-425-161 ( DO NOT USE )",NULL,"CONSUMABLE","inventoryitem",False
"1677","425-161-KIT","USE PN K-425-161 ( DO NOT USE )",NULL,"CONSUMABLE","inventoryitem",False
"1678","425-161-R","GEMINI; SUCTION VALVE; REMAN",NULL,"COMPRESSOR VALVE PROGRAM","inventoryitem",True
"1679","425-162","VALVE DISCHARGE 4.5""""""""-5.5""""""","669.79","COMPRESSOR VALVE PROGRAM","inventoryitem",True
"168","1-01-50470","GEMINI: SUCTION VALVE 10.0-10.5, A354","80","COMPRESSOR VALVE PROGRAM","inventoryitem",True
"1680","425-162-R","VALVE DISCHARGE REBUILT GEMINI","116.09","COMPRESSOR VALVE PROGRAM","inventoryitem",True
"1681","K-425-162","GEMINI; VALVE KIT",NULL,"COMPRESSOR VALVE PROGRAM","inventoryitem",True
